condition,mu,n_runs,mean_bc,median_bc,std_bc,bimodal_runs,bimodal_fraction,mean_opinion_std,mean_assortativity,median_assortativity,median_max_cascade_size,mean_max_cascade_size
mu_1,1.0,50,0.19203063579838908,0.1748593436001452,0.09055030893903734,1,0.02,0.18173028514694267,0.10463629155972433,0.06340310467029163,1.0,1.0
mu_01,0.1,50,0.43065335300689683,0.21063906031389593,0.3602853110597849,15,0.3,0.3177496427513544,0.14901549914609652,0.04084597253132995,2232.5,2447.24
