n_worlds,synthetic_fraction,activity_multiplier,mean_D,ci95_low,ci95_high,ci95_half_width,absolute_difference_from_final_mean
100,0.01,1.0,-0.00017801374599046008,-0.001448610226611623,0.001092582734630703,0.001270596480621163,0.0001822105722615343
100,0.01,2.0,0.0011497643191792119,-0.0005864800173366988,0.0028860086556951226,0.0017362443365159107,0.0007520019081292541
100,0.01,3.0,0.0016721109284071492,-0.0007519957554994099,0.0040962176123137085,0.002424106683906559,0.0012775068768111075
100,0.01,5.0,-0.0020808588350641672,-0.005451814137869254,0.00129009646774092,0.003370955302805087,0.0020453130360531258
100,0.01,7.5,-0.003336246530935324,-0.0072455782873152245,0.0005730852254445759,0.0039093317563799,0.0016471758763845527
100,0.01,10.0,-0.005086769111808593,-0.009602475329752863,-0.0005710628938643235,0.00451570621794427,0.00034820495763000173
100,0.01,15.0,-0.018687994545202372,-0.024421212805202548,-0.012954776285202195,0.005733218260000178,0.004971567414905738
100,0.05,1.0,-0.0005724299656618763,-0.0033173311116620036,0.0021724711803382513,0.0027449011460001275,0.0006499473853003257
100,0.05,2.0,0.003242184722912872,-0.0013464859440017346,0.007830855389827479,0.004588670666914606,0.001971410270663562
100,0.05,3.0,0.0011985895863673554,-0.00434591989218672,0.006743099064921431,0.005544509478554075,0.0006009187632583825
100,0.05,5.0,0.0034665622821066643,-0.0030000587600173957,0.009933183324230724,0.00646662104212406,0.002814556893848722
100,0.05,7.5,-0.006699552913994128,-0.012519346203572226,-0.0008797596244160292,0.005819793289578099,0.0015504904744424288
100,0.05,10.0,-0.013507292633333395,-0.02118480887302681,-0.005829776393639982,0.007677516239693413,0.00047238184213462854
100,0.05,15.0,-0.02703996568413696,-0.03490935471981506,-0.019170576648458868,0.007869389035678093,0.0038866092060069225
100,0.1,1.0,0.004259418658116258,-0.0007593851243832246,0.009278222440615741,0.005018803782499482,0.00411854393033762
100,0.1,2.0,0.0021154296365532878,-0.0033027901611950112,0.007533649434301587,0.005418219797748299,0.0002951153413668314
100,0.1,3.0,0.0052092872283107765,-0.0015544858053142784,0.011973060261935831,0.006763773033625055,0.0032684759460781232
100,0.1,5.0,-0.002542282823307921,-0.010822432544625709,0.0057378668980098664,0.008280149721317787,0.0028443928772640746
100,0.1,7.5,-0.006331120720223686,-0.013637807527436313,0.000975566086988941,0.007306686807212627,0.0005498566620721129
100,0.1,10.0,-0.013836893379346057,-0.021945538329672252,-0.005728248429019863,0.008108644950326194,0.0013041294532729099
100,0.1,15.0,-0.03202935843471453,-0.03909459671010908,-0.02496412015931998,0.007065238275394547,0.0019801051486221105
100,0.15,1.0,0.0037309933011355355,-0.0018851873467473474,0.009347173949018418,0.005616180647882883,0.003433688939296128
100,0.15,2.0,-0.0004313163181201035,-0.006976437885089814,0.0061138052488496075,0.006545121566969711,0.0035274089844182133
100,0.15,3.0,0.0009838678461390016,-0.006698149086325048,0.008665884778603052,0.00768201693246405,0.0024545889154505254
100,0.15,5.0,-0.002040183209357376,-0.010081961724812613,0.006001595306097861,0.008041778515455237,0.0020421394115497904
100,0.15,7.5,-0.009015959623681282,-0.017222230226156002,-0.0008096890212065614,0.008206270602474721,0.0018661149879356
100,0.15,10.0,-0.016702843050261946,-0.023706036854077274,-0.009699649246446618,0.007003193803815329,0.002424287347461255
100,0.15,15.0,-0.02943560992941533,-0.03544611748679532,-0.023425102372035343,0.006010507557379989,0.0041911294785602
100,0.2,1.0,0.001745945559331917,-0.004177291959886223,0.0076691830785500575,0.00592323751921814,0.00165786788925889
100,0.2,2.0,0.009903096131247301,0.002756815326047527,0.017049376936447078,0.0071462808051997746,0.006662534736339286
100,0.2,3.0,-0.0001222577214003634,-0.007746004160339053,0.007501488717538325,0.007623746438938689,0.0038276422683948827
100,0.2,5.0,-0.0017157270746153825,-0.009416420878476396,0.005984966729245631,0.007700693803861014,0.0014629878708883378
100,0.2,7.5,-0.014838712342292473,-0.021255914222256346,-0.008421510462328597,0.006417201879963875,0.007888017826294327
100,0.2,10.0,-0.013998727505334384,-0.020752731802790338,-0.007244723207878432,0.006754004297455952,0.00098460878618312
100,0.2,15.0,-0.023002927934784673,-0.028589704042399043,-0.017416151827170302,0.005586776107614371,0.002353626381029865
100,0.25,1.0,0.003571300788066455,-0.0025704311491473613,0.009713032725280272,0.006141731937213816,0.0037804415877428113
100,0.25,2.0,0.0016663622171934473,-0.005319613089572222,0.008652337523959117,0.0069859753067656695,0.001887317444059269
100,0.25,3.0,0.0029223635909586703,-0.004165368014810355,0.010010095196727695,0.007087731605769025,0.00025865553971712255
100,0.25,5.0,0.004933442469337695,-0.002340354237855659,0.012207239176531048,0.007273796707193354,0.005554994038376315
100,0.25,7.5,-0.007833895729237343,-0.01442581986304799,-0.0012419715954266955,0.006591924133810647,0.0013624410490703101
100,0.25,10.0,-0.010079107723504295,-0.016377913068641916,-0.003780302378366673,0.006298805345137622,0.0005735278880216917
100,0.25,15.0,-0.016099032618363304,-0.02096904895916108,-0.011229016277565526,0.0048700163407977785,0.00031554394979363756
500,0.01,1.0,-0.00022215827677775273,-0.0007769819707556008,0.00033266541720009543,0.0005548236939778481,0.00022635510304882696
500,0.01,2.0,4.055099720599559e-05,-0.000739458342670989,0.0008205603370829803,0.0007800093398769846,0.00035721141384396227
500,0.01,3.0,0.0003603211470094918,-0.0007602492479051781,0.0014808915419241618,0.00112057039491467,3.428290458654999e-05
500,0.01,5.0,-0.0007488748635137145,-0.002232609697706274,0.000734859970678845,0.0014837348341925594,0.0007133290645026729
500,0.01,7.5,-0.0022852024972198712,-0.004111194728700186,-0.0004592102657395565,0.0018259922314803148,0.0005961318426690998
500,0.01,10.0,-0.005969366975267988,-0.007924613741648932,-0.004014120208887044,0.001955246766380944,0.0012308028210893966
500,0.01,15.0,-0.013736958055846992,-0.01618208375423589,-0.011291832357458096,0.0024451256983888973,2.0530925550358084e-05
500,0.05,1.0,-0.0004643330233445282,-0.0017747240772685398,0.0008460580305794835,0.0013103910539240117,0.0005418504429829776
500,0.05,2.0,0.0031018784624998914,0.0011132319741637285,0.005090524950836055,0.001988646488336163,0.0018311040102505817
500,0.05,3.0,-0.0006175260877885251,-0.0028989639662023326,0.0016639117906252822,0.0022814378784138073,0.002417034437414263
500,0.05,5.0,0.0024243941499472728,-0.0005988063423088353,0.005447594642203381,0.003023200492256108,0.0017723887616893307
500,0.05,7.5,-0.005078637234976094,-0.008274955118650881,-0.0018823193513013057,0.003196317883674788,7.042520457560542e-05
500,0.05,10.0,-0.012328819440114241,-0.015646141935432505,-0.009011496944795978,0.0033173224953182627,0.000706091351084525
500,0.05,15.0,-0.030368458334982796,-0.03372875715139875,-0.027008159518566836,0.00336029881641596,0.0005581165551610881
500,0.1,1.0,-0.0009049006272881057,-0.002891553944592206,0.0010817526900159945,0.0019866533173041,0.0010457753550667435
500,0.1,2.0,0.0003943356659624534,-0.0020706159437091248,0.002859287275634032,0.0024649516096715784,0.001425978629224003
500,0.1,3.0,0.002830867401063658,4.4169607013327776e-05,0.005617565195113988,0.00278669779405033,0.0008900561188310047
500,0.1,5.0,0.0006936902079432123,-0.0026321275260810123,0.004019507941967437,0.0033258177340242247,0.0003915801539870585
