synthetic_fraction,metric,baseline_activity,treatment_activity,n_worlds,mean_difference,std_difference,median_difference,ci95_low,ci95_high,t_statistic,p_raw,cohens_dz,fraction_difference_gt_0,p_holm,reject_holm_0_05
0.1,exposure_efficiency_gap,3.0,10.0,10000,-0.6725896185707072,2.156662249707941,-0.610432846101931,-0.714864539241527,-0.6303146978998874,-31.18659950865234,7.586697808321168e-204,-0.3118659950865234,0.3838,3.4140140137445257e-202,True
0.1,exposure_efficiency_gap,3.0,15.0,10000,-1.3154975716092272,2.1651693539402688,-1.2697895142038749,-1.3579392486447068,-1.2730558945737476,-60.75725989817969,0.0,-0.6075725989817969,0.2708,0.0,True
0.1,exposure_efficiency_gap,5.0,7.5,10000,-0.27494938504007876,2.0449719267283246,-0.2916165455694717,-0.3150349505885094,-0.23486381949164814,-13.44514227537393,7.436936401114376e-41,-0.1344514227537393,0.4448,1.859234100278594e-39,True
0.1,exposure_efficiency_gap,7.5,10.0,10000,-0.308557886174646,2.0055467502960926,-0.29658971136595413,-0.3478706389164671,-0.26924513343282497,-15.38522530721817,8.263725947316125e-53,-0.1538522530721817,0.4385,2.727029562614321e-51,True
0.1,exposure_efficiency_gap,10.0,15.0,10000,-0.6429079530385202,2.0013407732569095,-0.6331446685714033,-0.6821382601652716,-0.6036776459117689,-32.12386224422316,1.43572313582166e-215,-0.3212386224422316,0.3751,6.604326424779636e-214,True
0.15,exposure_efficiency_gap,1.0,2.0,10000,0.08112374539094058,2.46071287394574,0.15128109194403017,0.03288882054176278,0.12935867024011838,3.2967578724802253,0.000981487957661551,0.03296757872480226,0.5258,0.010796367534277061,True
0.15,exposure_efficiency_gap,2.0,3.0,10000,-0.0223570212957315,2.153472574460363,-0.012036916373242779,-0.0645694179120429,0.019855375320579904,-1.0381846307624294,0.2992092109069029,-0.010381846307624292,0.4984,0.8976276327207087,False
0.15,exposure_efficiency_gap,3.0,5.0,10000,-0.1535636365308491,2.0781585774375544,-0.12970993799245223,-0.19429972722583566,-0.11282754583586253,-7.389408979568762,1.5928398909384338e-13,-0.07389408979568762,0.4755,2.867111803689181e-12,True
0.15,exposure_efficiency_gap,3.0,7.5,10000,-0.4261159180642947,2.0660088854137704,-0.39193193564154205,-0.46661385034270497,-0.38561798578588447,-20.6250767396363,1.3595984297061068e-92,-0.206250767396363,0.4262,4.8945543469419846e-91,True
0.15,exposure_efficiency_gap,3.0,10.0,10000,-0.7319141134274454,2.07016751232927,-0.6798788405630982,-0.7724935631632026,-0.6913346636916882,-35.35530864378819,4.149142383661994e-258,-0.3535530864378819,0.3628,1.991588344157757e-256,True
0.15,exposure_efficiency_gap,3.0,15.0,10000,-1.3690535610052346,2.133264143944139,-1.3041025322480602,-1.410869831711209,-1.3272372902992602,-64.1764670770693,0.0,-0.641764670770693,0.2622,0.0,True
0.15,exposure_efficiency_gap,5.0,7.5,10000,-0.2725522815334457,2.030538603802806,-0.278779873893936,-0.31235492490350775,-0.23274963816338362,-13.422659437402865,1.0021796851939117e-40,-0.13422659437402865,0.4422,2.4052312444653882e-39,True
0.15,exposure_efficiency_gap,7.5,10.0,10000,-0.30579819536315067,2.0321094731294838,-0.2705302376478098,-0.3456316309336041,-0.26596475979269724,-15.048313066136942,1.2664808118181056e-50,-0.15048313066136942,0.4439,3.9260905166361276e-49,True
0.15,exposure_efficiency_gap,10.0,15.0,10000,-0.6371394475777892,2.0437220557883102,-0.6313600018655441,-0.67720051314026,-0.5970783820153184,-31.175445103861247,1.0419775035208666e-203,-0.3117544510386125,0.3706,4.5847010154918125e-202,True
0.2,exposure_efficiency_gap,1.0,2.0,10000,0.0817547621443849,2.2336744711040097,0.1795238920466029,0.037970246936616436,0.12553927735215337,3.660101917356696,0.0002534134122755127,0.03660101917356696,0.5342,0.0030409609473061525,True
0.2,exposure_efficiency_gap,2.0,3.0,10000,-0.013369885457332796,2.0360429413731747,0.016435032511779024,-0.05328042492200321,0.02654065400733762,-0.6566602887223835,0.511414486069759,-0.006566602887223834,0.5033,1.0,False
0.2,exposure_efficiency_gap,3.0,5.0,10000,-0.15901396515577165,2.0241404992071854,-0.10644306629834599,-0.19869119279870254,-0.11933673751284077,-7.85587587512103,4.37815693602406e-15,-0.0785587587512103,0.4778,9.194129565650525e-14,True
0.2,exposure_efficiency_gap,3.0,7.5,10000,-0.4413392800348788,2.0641569984417543,-0.3960155087765349,-0.48180091160146277,-0.4008776484682949,-21.3810907003706,3.2656659194162253e-99,-0.213810907003706,0.4236,1.2409530493781656e-97,True
0.2,exposure_efficiency_gap,3.0,10.0,10000,-0.7598052963652778,2.0734722552592078,-0.724180932132541,-0.8004495257137071,-0.7191610670168486,-36.64410239578024,5.849439512728682e-276,-0.36644102395780237,0.3615,2.8662253612370544e-274,True
0.2,exposure_efficiency_gap,3.0,15.0,10000,-1.360703679243878,2.152544472572053,-1.3229019534066881,-1.402897883195247,-1.318509475292509,-63.21373131111142,0.0,-0.6321373131111142,0.2625,0.0,True
0.2,exposure_efficiency_gap,5.0,7.5,10000,-0.2823253148791071,2.053612427211741,-0.2660607356928373,-0.3225802516271969,-0.24207037813101734,-13.747740865710954,1.2812744116521356e-42,-0.13747740865710953,0.4447,3.58756835262598e-41,True
0.2,exposure_efficiency_gap,7.5,10.0,10000,-0.318466016330399,2.0875430285170853,-0.29726233092565923,-0.35938606115403043,-0.2775459715067676,-15.255542615407823,5.8049475048565876e-52,-0.15255542615407822,0.4371,1.857583201554108e-50,True
0.2,exposure_efficiency_gap,10.0,15.0,10000,-0.6008983828786003,2.2060885968527453,-0.5811562254634675,-0.6441421594307145,-0.5576546063264861,-27.238179995846732,1.1830375220966684e-157,-0.27238179995846734,0.3918,4.85045384059634e-156,True
0.25,exposure_efficiency_gap,1.0,2.0,10000,0.09424459993608209,2.10044650942321,0.16371614063187412,0.053071620916677636,0.13541757895548653,4.486884075041834,7.307964358277008e-06,0.04486884075041834,0.532,0.00010961946537415513,True
0.25,exposure_efficiency_gap,2.0,3.0,10000,-0.04020976822860566,1.9943903666482756,-0.022090654441418778,-0.07930383339718777,-0.0011157030600235443,-2.0161433238459345,0.04381168189969168,-0.020161433238459345,0.4955,0.35049345519753344,False
0.25,exposure_efficiency_gap,3.0,5.0,10000,-0.14645351098509596,2.0266048697034496,-0.1276323307358398,-0.18617904524963494,-0.10672797672055698,-7.226544906433898,5.3164399685364e-13,-0.07226544906433897,0.4755,9.037947946511881e-12,True
0.25,exposure_efficiency_gap,3.0,7.5,10000,-0.43513170364493925,2.085364788240863,-0.3755921730176972,-0.47600905057515147,-0.39425435671472703,-20.86597539665951,1.1162173915863968e-94,-0.20865975396659514,0.4272,4.130004348869668e-93,True
0.25,exposure_efficiency_gap,3.0,10.0,10000,-0.7051774679178883,2.136418197033173,-0.65461375449819,-0.7470555644123691,-0.6632993714234074,-33.00746403008375,7.0486565274540275e-227,-0.3300746403008375,0.3759,3.3128685679033927e-225,True
0.25,exposure_efficiency_gap,3.0,15.0,10000,-1.2883964412173965,2.2491308898600857,-1.214258102360362,-1.3324839333409322,-1.2443089490938608,-57.284191285885775,0.0,-0.5728419128588578,0.2888,0.0,True
0.25,exposure_efficiency_gap,5.0,7.5,10000,-0.2886781926598434,2.137204314480985,-0.27605422390110324,-0.3305716986384698,-0.24678468668121697,-13.507281016787028,3.252821925135451e-41,-0.1350728101678703,0.4475,8.457337005352173e-40,True
0.25,exposure_efficiency_gap,7.5,10.0,10000,-0.27004576427294896,2.23900651679081,-0.2769601535135413,-0.3139347983076469,-0.22615673023825097,-12.060963746546312,2.887956827924805e-33,-0.12060963746546312,0.4527,6.642300704227051e-32,True
0.25,exposure_efficiency_gap,10.0,15.0,10000,-0.5832189732995081,2.369453422033724,-0.5542786747818389,-0.6296650292191327,-0.5367729173798835,-24.614072084140222,6.2409508859051246e-130,-0.24614072084140223,0.3997,2.4339708455029987e-128,True
