synthetic_fraction,metric,baseline_activity,treatment_activity,n_worlds,mean_difference,std_difference,median_difference,ci95_low,ci95_high,t_statistic,p_raw,cohens_dz,fraction_difference_gt_0,family,p_holm,reject_holm_0_05
0.01,exposure_minus_production,1.0,2.0,10000,0.00039356558477888365,0.01253738706916784,-0.0007623339299312492,0.00014780756502395505,0.0006393236045338122,3.1391356317517465,0.0016994003680813133,0.031391356317517466,0.4658,adjacent,0.01529460331273182,True
0.01,exposure_minus_production,2.0,3.0,10000,-3.158359453916082e-06,0.016124000287307844,-0.0007003107498765506,-0.0003192212168320357,0.0003129044979242035,-0.019587939702545243,0.9843724755441072,-0.00019587939702545243,0.4776,adjacent,1.0,False
0.01,exposure_minus_production,3.0,5.0,10000,-0.00043014985060708336,0.019828877471876897,-0.0014737533503331457,-0.0008188357573727449,-4.146394384142184e-05,-2.1693101448488985,0.03008262764191667,-0.02169310144848899,0.466,adjacent,0.2105783934934167,False
0.01,exposure_minus_production,5.0,7.5,10000,-0.00165352485553973,0.02469751593340964,-0.0024312881577016505,-0.002137645874949512,-0.0011694038361299481,-6.695105936961536,2.2708717885884988e-11,-0.06695105936961535,0.4547,adjacent,3.256313629264335e-10,True
0.01,exposure_minus_production,7.5,10.0,10000,-0.0030494934996278195,0.028473694090723478,-0.003729857010405093,-0.003607635210993861,-0.002491351788261778,-10.70986254860876,1.275412134889788e-26,-0.1070986254860876,0.444,adjacent,2.678365483268555e-25,True
0.01,exposure_minus_production,10.0,15.0,10000,-0.008977862976118044,0.033192841802307235,-0.009414405555380007,-0.009628509480558708,-0.00832721647167738,-27.047587638290107,1.4735107739197722e-155,-0.2704758763829011,0.3816,adjacent,5.0099366313272254e-154,True
0.05,exposure_minus_production,1.0,2.0,10000,0.0011932570326108603,0.026934180341486647,0.0002560444682730492,0.0006652928892109839,0.0017212211760107366,4.430270449971294,9.511619590015864e-06,0.04430270449971294,0.5047,adjacent,0.0001046278154901745,True
0.05,exposure_minus_production,2.0,3.0,10000,0.0005287338973764281,0.033446845445294915,0.0002883853599408605,-0.0001268915896837251,0.0011843593844365814,1.580818430967477,0.11395118864911748,0.01580818430967477,0.5037,adjacent,0.6837071318947049,False
0.05,exposure_minus_production,3.0,5.0,10000,-0.0011475029613677958,0.03975893013692981,-0.0008694228706665613,-0.0019268580123142265,-0.0003681479104213651,-2.8861515071351116,0.003908190973891069,-0.028861515071351113,0.4898,adjacent,0.03126552779112855,True
0.05,exposure_minus_production,5.0,7.5,10000,-0.005801067827809641,0.04555393891404313,-0.005993697088715527,-0.0066940167140320155,-0.004908118941587267,-12.734503241872941,7.346335125068183e-37,-0.1273450324187294,0.4489,adjacent,1.6896570787656822e-35,True
0.05,exposure_minus_production,7.5,10.0,10000,-0.007885848351647066,0.04866944753370789,-0.00785884316174712,-0.008839867477200341,-0.006931829226093791,-16.20287213284149,2.6518676907342076e-58,-0.16202872132841492,0.4391,adjacent,8.220789841276044e-57,True
0.05,exposure_minus_production,10.0,15.0,10000,-0.01789166409894512,0.04979423622390435,-0.018279160384467946,-0.0188677313466167,-0.016915596851273543,-35.9311949650028,5.0376534701003107e-266,-0.359311949650028,0.3597,adjacent,1.8135552492361118e-264,True
0.1,exposure_minus_production,1.0,2.0,10000,0.0016794395674078189,0.035636665267542986,0.0011972423630050022,0.000980889204520928,0.00237798993029471,4.712673183080943,2.477876632475778e-06,0.04712673183080943,0.5154,adjacent,2.9734519589709335e-05,True
0.1,exposure_minus_production,2.0,3.0,10000,0.00012049698704619667,0.042910481194884234,-0.00022726045693741148,-0.000720634807561929,0.0009616287816543222,0.28081015101867995,0.7788618273148132,0.0028081015101867994,0.4985,adjacent,1.0,False
0.1,exposure_minus_production,3.0,5.0,10000,-0.0016387012282764993,0.048955645142673754,-0.0009226882250873425,-0.002598330402977178,-0.0006790720535758208,-3.3473182173388887,0.0008189850309175898,-0.033473182173388884,0.4929,adjacent,0.008189850309175899,True
0.1,exposure_minus_production,5.0,7.5,10000,-0.007183087436251952,0.05158223292887868,-0.007443397615217201,-0.008194203017927944,-0.00617197185457596,-13.925506959258545,1.1325764917223212e-43,-0.13925506959258543,0.4413,adjacent,3.057956527650267e-42,True
0.1,exposure_minus_production,7.5,10.0,10000,-0.008260045450323168,0.051588409897555115,-0.00816965883277776,-0.009271282113017209,-0.0072488087876291275,-16.011436419005868,5.417709948505245e-57,-0.1601143641900587,0.434,adjacent,1.6253129845515734e-55,True
0.1,exposure_minus_production,10.0,15.0,10000,-0.014908230453473451,0.048703172635272546,-0.01509673157121813,-0.015862910658893753,-0.013953550248053148,-30.61038870120011,8.823662074080297e-197,-0.3061038870120011,0.3816,adjacent,3.088281725928104e-195,True
0.15,exposure_minus_production,1.0,2.0,10000,0.002798788304458703,0.041762253242421214,0.0027438770027195386,0.001980164088684011,0.003617412520233395,6.701717668853541,2.1708757528428897e-11,0.06701717668853541,0.5272,adjacent,3.256313629264335e-10,True
0.15,exposure_minus_production,2.0,3.0,10000,0.00034236409529141685,0.048799464805578695,0.000282615246175566,-0.0006142036304679961,0.0012989318210508299,0.7015734632652738,0.482961533729183,0.0070157346326527375,0.5021,adjacent,1.0,False
0.15,exposure_minus_production,3.0,5.0,10000,-0.0034365005593971127,0.05269820114171483,-0.003185006445749816,-0.004469491364082731,-0.0024035097547114945,-6.52109651742334,7.316757776569299e-11,-0.0652109651742334,0.4787,adjacent,9.51178510954009e-10,True
0.15,exposure_minus_production,5.0,7.5,10000,-0.007151800837938097,0.05258876862906357,-0.007283856583503084,-0.008182646545127913,-0.006120955130748281,-13.599483358097876,9.472474177252695e-42,-0.13599483358097877,0.4425,adjacent,2.462843286085701e-40,True
0.15,exposure_minus_production,7.5,10.0,10000,-0.007128711067055009,0.04976402635863909,-0.006355117920746278,-0.008104186140565918,-0.006153235993544101,-14.325028717893238,4.3573747906544436e-46,-0.14325028717893237,0.449,adjacent,1.2200649413832442e-44,True
0.15,exposure_minus_production,10.0,15.0,10000,-0.01096592474805444,0.0437393020719838,-0.011157100821660548,-0.01182330309996863,-0.01010854639614025,-25.071101340408468,1.3916624168925373e-134,-0.2507110134040847,0.3946,adjacent,4.592485975745373e-133,True
