synthetic_fraction,activity_multiplier,baseline_multiplier,n_worlds,paired_delta_effect_n,paired_delta_effect_mean,paired_delta_effect_std,paired_delta_effect_median,paired_delta_effect_min,paired_delta_effect_max,paired_delta_effect_ci95_low,paired_delta_effect_ci95_high,paired_delta_effect_ci95_half_width,paired_production_change_n,paired_production_change_mean,paired_production_change_std,paired_production_change_median,paired_production_change_min,paired_production_change_max,paired_production_change_ci95_low,paired_production_change_ci95_high,paired_production_change_ci95_half_width,paired_exposure_change_n,paired_exposure_change_mean,paired_exposure_change_std,paired_exposure_change_median,paired_exposure_change_min,paired_exposure_change_max,paired_exposure_change_ci95_low,paired_exposure_change_ci95_high,paired_exposure_change_ci95_half_width,fraction_paired_effect_gt_0
0.01,2.0,1.0,2000,2000,0.000696444346782809,0.012204414312240114,-0.0005573560891812528,-0.09417651185223733,0.07824705727605738,0.00016124808482565487,0.0012316406087399632,0.0005351962619571541,2000,0.009737097343726898,0.0024567308932361425,0.00980458638092601,0.000507275352192707,0.018112342392692833,0.00962936311273017,0.009844831574723625,0.0001077342309967275,2000,0.010433541690509706,0.012431276329981669,0.008994549706909327,-0.08464015423807707,0.08813649521144219,0.00988839692133467,0.010978686459684741,0.0005451447691750356,0.4705
0.01,3.0,1.0,2000,2000,0.0002545584669223302,0.014442387334162522,-0.0011751609512692684,-0.08708285038466991,0.0882030019796242,-0.00037877890734470097,0.0008878958411893614,0.0006333373742670312,2000,0.019300967389958252,0.002704905373613508,0.01932763847353538,0.011226651200693615,0.028812731701353733,0.019182350043163175,0.01941958473675333,0.00011861734679507552,2000,0.01955552585688058,0.014635748575785633,0.018003088528137395,-0.06711192083667072,0.10390674341257392,0.01891370907417358,0.02019734263958758,0.0006418167827069999,0.4535
0.01,5.0,1.0,2000,2000,1.83213776355714e-05,0.018089281428557178,-0.002230682030306773,-0.09894786072937287,0.09526235986918624,-0.0007749420723232796,0.0008115848275944224,0.000793263449958851,2000,0.037958086131715134,0.003277468729455583,0.0379034007252593,0.02738734334080424,0.050527991811108335,0.03781436034792829,0.03810181191550198,0.00014372578378684436,2000,0.0379764075093507,0.01812360436246772,0.035445206905252435,-0.05045310414391218,0.136001262850786,0.037181638906792276,0.03877117611190912,0.0007947686025584231,0.4435
0.01,7.5,1.0,2000,2000,-0.0015297406699317558,0.021445467142278938,-0.0042041817138390985,-0.0663617021191274,0.11350733592657605,-0.0024701818543121936,-0.0005892994855513181,0.0009404411843804378,2000,0.060367613443587397,0.003850611230029689,0.060334232646695844,0.04889945165842405,0.07287545804609875,0.060198753825760815,0.06053647306141398,0.00016885961782658163,2000,0.058837872773655646,0.02159594094522757,0.055668382166118954,-0.005304848996729283,0.16814454208718935,0.057890832909912135,0.05978491263739916,0.0009470398637435119,0.4175
0.01,10.0,1.0,2000,2000,-0.00478666628200097,0.023149713342928924,-0.006238625297642181,-0.11078626873215312,0.10170287334295504,-0.0058018432277794595,-0.0037714893362224794,0.0010151769457784903,2000,0.08175293411883192,0.00419944161663955,0.08170506680767876,0.06751083033656993,0.09461444230453697,0.08156877735407192,0.08193709088359191,0.00018415676476000127,2000,0.07696626783683096,0.023164796455677414,0.07534033247388644,-0.026692806514653958,0.18522884779541132,0.07595042945615234,0.07798210621750958,0.0010158383806786128,0.3955
0.01,15.0,1.0,2000,2000,-0.013476912592373866,0.02921204861782131,-0.01657354373645937,-0.11327793736588394,0.11259366201605712,-0.014757939180326448,-0.012195886004421284,0.0012810265879525822,2000,0.12146249217385337,0.005016662972049399,0.12131469873328937,0.10685741318827115,0.13938908056817395,0.12124249806340703,0.1216824862842997,0.00021999411044632862,2000,0.1079855795814795,0.02928302780951371,0.10454253315176079,0.017746905282711778,0.23691113619300905,0.10670144036582528,0.10926971879713372,0.0012841392156542175,0.2865
0.05,2.0,1.0,2000,2000,0.0011747697748186198,0.026666170191366512,-5.029389408353971e-05,-0.12498503830615747,0.09901926659608715,5.386776011436986e-06,0.0023441527736258027,0.0011693829988071829,2000,0.04515605442846403,0.005232141294965005,0.04517545637294369,0.02525938253341374,0.06314855329932285,0.04492661101631368,0.04538549784061438,0.0002294434121503496,2000,0.046330824203282654,0.027014357958464134,0.045432419283137154,-0.07702917317360379,0.1440349131985216,0.045146172238129174,0.047515476168436134,0.0011846519651534794,0.4995
0.05,3.0,1.0,2000,2000,0.0009430419140331587,0.03060204815465837,-1.8914730800935475e-05,-0.1329639123341287,0.12192601611186717,-0.00039893987727492367,0.002285023705341241,0.0013419817913080823,2000,0.0863717014837457,0.0057272040291624126,0.08639715989880431,0.06754978811505513,0.10594039528942836,0.08612054824447887,0.08662285472301254,0.0002511532392668389,2000,0.08731474339777885,0.030749793431599715,0.08647963392312197,-0.0402741045028136,0.2085115619225047,0.08596628258028255,0.08866320421527515,0.0013484608174962975,0.5
0.05,5.0,1.0,2000,2000,6.028176704726196e-05,0.03661850902349468,-0.0006895278798252462,-0.1753888231974146,0.14358521364250376,-0.0015455379508365573,0.0016661014849310813,0.0016058197178838193,2000,0.15831954970715287,0.006613726682776984,0.15834431662582676,0.13510375259212284,0.17946451742969258,0.1580295200746224,0.15860957933968334,0.0002900296325304636,2000,0.15837983147420015,0.03679127292354705,0.1573886469903648,-0.014193606038708784,0.2992979295199134,0.1567664355964824,0.1599932273519179,0.0016133958777177606,0.4945
0.05,7.5,1.0,2000,2000,-0.00668200764639675,0.040235348620224716,-0.00865361020506759,-0.1631061773018907,0.13640248327771232,-0.0084464354697369,-0.0049175798230565995,0.0017644278233401505,2000,0.23310224988262881,0.007161726256927957,0.23320734968639167,0.2070959903954901,0.26027106718171195,0.23278818900073758,0.23341631076452005,0.0003140608818912435,2000,0.22642024223623208,0.04034392578032638,0.22471643889161744,0.07207714254464156,0.37383512556225684,0.22465105301355448,0.2281894314589097,0.0017691892226776062,0.4185
