synthetic_fraction,activity_multiplier,baseline_multiplier,n_worlds,paired_delta_effect_n,paired_delta_effect_mean,paired_delta_effect_std,paired_delta_effect_median,paired_delta_effect_min,paired_delta_effect_max,paired_delta_effect_ci95_low,paired_delta_effect_ci95_high,paired_delta_effect_ci95_half_width,paired_production_change_n,paired_production_change_mean,paired_production_change_std,paired_production_change_median,paired_production_change_min,paired_production_change_max,paired_production_change_ci95_low,paired_production_change_ci95_high,paired_production_change_ci95_half_width,paired_exposure_change_n,paired_exposure_change_mean,paired_exposure_change_std,paired_exposure_change_median,paired_exposure_change_min,paired_exposure_change_max,paired_exposure_change_ci95_low,paired_exposure_change_ci95_high,paired_exposure_change_ci95_half_width,fraction_paired_effect_gt_0
0.01,2.0,1.0,10000,10000,0.0003935655847788843,0.012537387069167839,-0.0007623339299312041,-0.09417651185223733,0.09892306871943535,0.0001478075650239557,0.0006393236045338129,0.0002457580197549286,10000,0.009784372103190947,0.0024192091326024428,0.009806755360301211,0.000507275352192707,0.019307374329456,0.00973695073520403,0.009831793471177862,4.7421367986916355e-05,10000,0.01017793768796983,0.012674227706397156,0.00904604166419641,-0.08464015423807707,0.10642500911021582,0.009929497316314786,0.010426378059624875,0.00024844037165504517,0.4658
0.01,3.0,1.0,10000,10000,0.0003904072253249664,0.014725061239653683,-0.0011794955358279979,-0.08724028405523718,0.10956597418661408,0.00010176638883625626,0.0006790480618136766,0.00028864083648871017,10000,0.0194107354628506,0.00278043564733612,0.01942808123426907,0.009589108994414794,0.03169687013512003,0.01935623332815734,0.01946523759754386,5.450213469326128e-05,10000,0.019801142688175566,0.014919545000922848,0.018145562331533766,-0.07175618611604004,0.13249706278971998,0.01950868957854092,0.020093595797810213,0.00029245310963464666,0.4558
0.01,5.0,1.0,10000,10000,-3.974262528211662e-05,0.017654505147133955,-0.0021568515952377905,-0.09894786072937287,0.09526235986918624,-0.00038580645826233394,0.0003063212076981007,0.0003460638329802173,10000,0.03804036565103582,0.003290770452212072,0.03799185563080454,0.024526055254532074,0.051831148179398975,0.03797585992704868,0.03810487137502296,6.450572398713928e-05,10000,0.038000623025753716,0.017726957963819918,0.035937940302347,-0.05045310414391218,0.13611867069615932,0.03765313897174529,0.03834810707976214,0.0003474840540084248,0.4472
0.01,7.5,1.0,10000,10000,-0.001693267480821844,0.021616231348861755,-0.003996386605359694,-0.10331417771378791,0.11350733592657605,-0.002116989120869548,-0.00126954584077414,0.000423721640047704,10000,0.060432299741910084,0.00386688474019395,0.06042425673675529,0.04496353676681546,0.07664479762275393,0.06035650101837002,0.06050809846545015,7.579872354006324e-05,10000,0.05873903226108823,0.021757573538627933,0.05634202690063721,-0.0420190253789717,0.17263794675302874,0.0583125400296507,0.05916552449252576,0.0004264922314375307,0.4232
0.01,10.0,1.0,10000,10000,-0.004742760980449665,0.024135352916253676,-0.0070718184144118465,-0.11078626873215312,0.11438163225320545,-0.005215862473293544,-0.004269659487605787,0.00047310149284387863,10000,0.08175760645915169,0.004250576297814804,0.08175559246978308,0.06533002083252462,0.09912872201053528,0.08167428660885073,0.08184092630945264,8.331985030095568e-05,10000,0.07701484547870202,0.02425249892165399,0.07456269804464513,-0.026692806514653958,0.19132608693526607,0.07653944768838,0.07749024326902404,0.00047539779032201754,0.3827
0.01,15.0,1.0,10000,10000,-0.013720623956567706,0.028748843075263694,-0.01634261302952162,-0.13450239192320493,0.14689831209398302,-0.014284159141805546,-0.013157088771329867,0.0005635351852378399,10000,0.12154006584781496,0.0050008868244563,0.12157259500642015,0.10214252873563218,0.13941401120842528,0.12144203840108969,0.12163809329454023,9.802744672526633e-05,10000,0.10781944189124724,0.02888686339055612,0.10515643233910199,-0.018920168838999912,0.2666737751677398,0.10725320123004499,0.1083856825524495,0.0005662406612022563,0.2891
0.05,2.0,1.0,10000,10000,0.0011932570326108603,0.026934180341486647,0.0002560444682730978,-0.12498503830615747,0.11667178976838108,0.0006652928892109839,0.0017212211760107366,0.0005279641433998764,10000,0.045243286808350526,0.005224661856779386,0.04516904717026619,0.02525938253341374,0.0646754060806706,0.04514087292061399,0.04534570069608706,0.00010241388773653258,10000,0.04643654384096138,0.02740271677977801,0.045550190590406464,-0.07702917317360379,0.17320159480607542,0.04589939544037759,0.04697369224154517,0.0005371484005837902,0.5047
0.05,3.0,1.0,10000,10000,0.0017219909299872904,0.030454681354761214,0.0006647208354900805,-0.1329639123341287,0.13733785264730286,0.0011250178812394034,0.0023189639787351774,0.0005969730487478871,10000,0.0863881115815251,0.005665347132957932,0.08637249942170815,0.060932061551834595,0.10701550197028889,0.08627705937543632,0.08649916378761387,0.00011105220608877772,10000,0.0881101025115124,0.030764120811253258,0.0869355549185573,-0.0402741045028136,0.2186019725897962,0.0875070638266282,0.08871314119639659,0.0006030386848841873,0.5088
0.05,5.0,1.0,10000,10000,0.0005744879686194923,0.03572799169401269,5.94339257015547e-05,-0.1753888231974146,0.159977799457184,-0.00012585257603307798,0.0012748285132720624,0.0007003405446525703,10000,0.15831326427291978,0.006550723381228582,0.1583259332268513,0.13021440337966592,0.18599637722367166,0.1581848569104246,0.15844167163541495,0.00012840736249518237,10000,0.15888775224153928,0.036195034645389104,0.15816308074827556,-0.014193606038708784,0.3165092949482092,0.15817825671505217,0.1595972477680264,0.0007094955264871052,0.5007
0.05,7.5,1.0,10000,10000,-0.005226579859190145,0.03969836692917301,-0.0060982754293176095,-0.17358973907941802,0.17037379309157533,-0.006004747749372837,-0.004448411969007453,0.0007781678901826922,10000,0.23297924422657543,0.007077719231949393,0.23306301913637528,0.20606648289642232,0.26142356956078533,0.23284050668475517,0.23311798176839568,0.00013873754182024383,10000,0.22775266436738528,0.03987500117756472,0.2269119136827274,0.06494260068614777,0.4026893107691027,0.22697103409043362,0.22853429464433694,0.0007816302769516546,0.4379
