synthetic_fraction,activity_multiplier,baseline_multiplier,n_worlds,paired_delta_effect_n,paired_delta_effect_mean,paired_delta_effect_std,paired_delta_effect_median,paired_delta_effect_min,paired_delta_effect_max,paired_delta_effect_ci95_low,paired_delta_effect_ci95_high,paired_delta_effect_ci95_half_width,paired_production_change_n,paired_production_change_mean,paired_production_change_std,paired_production_change_median,paired_production_change_min,paired_production_change_max,paired_production_change_ci95_low,paired_production_change_ci95_high,paired_production_change_ci95_half_width,paired_exposure_change_n,paired_exposure_change_mean,paired_exposure_change_std,paired_exposure_change_median,paired_exposure_change_min,paired_exposure_change_max,paired_exposure_change_ci95_low,paired_exposure_change_ci95_high,paired_exposure_change_ci95_half_width,fraction_paired_effect_gt_0
0.05,10.0,1.0,5000,5000,-0.01254574407165143,0.04127248717214654,-0.012487575736669192,-0.18136814079762653,0.12820484548537775,-0.013690015079211915,-0.011401473064090947,0.0011442710075604834,5000,0.29460529282278963,0.007360232587464986,0.29464539585500843,0.26660952543871247,0.3179972449386319,0.29440123192566925,0.29480935371991,0.00020406089712039123,5000,0.2820595487511382,0.0414003172377543,0.2821712101979146,0.11697656153766552,0.4231959253550221,0.2809117336819524,0.283207363820324,0.0011478150691858324,0.3838
0.05,15.0,1.0,5000,5000,-0.03103656027497157,0.04245838806634636,-0.03215461874265139,-0.18056223807421273,0.10668411060898245,-0.03221371013486322,-0.02985941041507992,0.0011771498598916483,5000,0.39107254279862247,0.007704558581348366,0.39099882975014566,0.36472862272405876,0.419271393229035,0.3908589355358976,0.3912861500613473,0.00021360726272483924,5000,0.3600359825236509,0.04269027412467647,0.35869983267277616,0.21297440366358678,0.4973220195831993,0.35885240367166826,0.3612195613756335,0.001183578851982624,0.2352
0.1,2.0,1.0,5000,5000,0.0010654959962628015,0.03613481151003277,0.0006130390144900646,-0.15747310051961175,0.133486058880926,6.366596353102609e-05,0.002067326028994577,0.0010018300327317754,5000,0.0818328651341963,0.006896309358167283,0.0818739300080692,0.057564151843757044,0.10343185050066665,0.08164166641082388,0.08202406385756872,0.0001911987233724168,5000,0.0828983611304591,0.036626726421811626,0.08237307790948445,-0.08664825422252562,0.21614642252090832,0.08188289286048256,0.08391382940043565,0.0010154682699765397,0.5086
0.1,3.0,1.0,5000,5000,0.0012529965689504962,0.03959832698365132,0.000857394667050343,-0.1715923549854405,0.1334388033425909,0.00015514129974173287,0.0023508518381592596,0.0010978552692087634,5000,0.150071636036046,0.0074240463921286075,0.1499780041630841,0.12329048518855457,0.17874837441932195,0.1498658059146418,0.15027746615745022,0.00020583012140421367,5000,0.1513246326049965,0.04019231512682217,0.15115460813199952,-0.03397966722064866,0.28203526924206784,0.15021030913971734,0.1524389560702757,0.0011143234652791901,0.51
0.1,5.0,1.0,5000,5000,0.00023880584527363768,0.04407892426835749,0.0007493616633498026,-0.17975792028216261,0.14980174175579886,-0.0009832730392471574,0.0014608847297944328,0.001222078884520795,5000,0.25730410114865154,0.007993562045540577,0.2574862355716741,0.23147098356846657,0.28491159467037197,0.25708248132579725,0.25752572097150583,0.0002216198228543114,5000,0.2575429069939252,0.044609752668178224,0.2574739857512862,0.09048946950556788,0.41451282551849944,0.2563061110039057,0.25877970298394465,0.0012367959900194555,0.5052
0.1,7.5,1.0,5000,5000,-0.006861270366322406,0.04547256000270104,-0.00677339624040435,-0.1728049323036751,0.14609832890901275,-0.008121987507831644,-0.005600553224813168,0.0012607171415092374,5000,0.3544367731599882,0.008258551621396397,0.35447444436633274,0.32330128366882693,0.3870513284308212,0.354207806556997,0.35466573976297944,0.0002289666029912302,5000,0.3475755027936658,0.04588580791045919,0.3474265221083679,0.18706373492259987,0.5096456995841634,0.3463033284410171,0.3488476771463145,0.0012721743526487154,0.4362
0.1,10.0,1.0,5000,5000,-0.01541127411441596,0.0450400154388502,-0.016210176010702085,-0.20585307151061155,0.1431108479382015,-0.01665999904906284,-0.014162549179769082,0.0012487249346468793,5000,0.4262117562683859,0.00810826711985419,0.4262647998412764,0.3967596442348485,0.45402055437642624,0.42598695627152344,0.4264365562652484,0.00022479999686247527,5000,0.41080048215397,0.04547477006448975,0.4106775803945187,0.22721775334011612,0.592645040331855,0.40953970373896353,0.4120612605689765,0.0012607784150064996,0.3672
0.1,15.0,1.0,5000,5000,-0.030333166462152637,0.04224133173215299,-0.030249766924787473,-0.185868077537933,0.11667446630871223,-0.03150429848092924,-0.029162034443376037,0.0011711320187766004,5000,0.5250234647613099,0.008048943803123945,0.5249140609414993,0.4972941524140224,0.5543641377967047,0.5248003094908997,0.5252466200317201,0.00022315527041011458,5000,0.4946902982991573,0.04266380962992701,0.49478801527112337,0.3310694960590821,0.6391873857253275,0.4935074531697135,0.49587314342860106,0.0011828451294437997,0.2378
0.15,2.0,1.0,5000,5000,0.002229134794968808,0.04177088202923012,0.0017149859045256996,-0.16197707589704952,0.1649202797267753,0.0010710458950458099,0.0033872236948918064,0.0011580888999229981,5000,0.11095147776598083,0.007957815690152227,0.11090029776665128,0.0818692776796498,0.14049385657746,0.11073084900329515,0.1111721065286665,0.00022062876268567566,5000,0.11318061256094963,0.04233168795858602,0.11291260328431896,-0.058587908821380735,0.2649040312808303,0.11200697543484019,0.11435424968705908,0.00117363712610945,0.519
0.15,3.0,1.0,5000,5000,0.0032764141623283565,0.045216257824470654,0.0036929348947640633,-0.17011759602338197,0.19319676027517232,0.0020228029446879756,0.004530025379968737,0.001253611217640381,5000,0.19619604010260597,0.008446710554156469,0.1961649485243535,0.16669396385453827,0.23052611719319094,0.19596185683286352,0.19643022337234842,0.00023418326974244494,5000,0.19947245426493432,0.045695325930728975,0.19962751064572837,0.02765776095339445,0.38911661432535694,0.19820556098502443,0.2007393475448442,0.001266893279909898,0.5338
